User ID,Top k Items
4134,"[ 1738 17642  9066  3144  7489 10287  6556  3100  4907   513 14585 13270
  4704  7716 16937 13261 10405 16427  4094  2360]"
4135,"[ 7607 16427 16385  7582   167  3228  3489 13872  7716  4437   865  4094
 13270 12321  1232 10334  3766 13810 14776  7998]"
4136,"[ 6162  2228  5187 12321  2340  3548 11782   113  2190  9421 10633  4460
 17382  3099 11823 16105  8658   828  3544  2144]"
4137,"[ 4561  3590  3411  4673 13862  7329 13127 10685 12759 11704 17621  2299
   478 17613  4856 12269 10407 17298  6227  4789]"
4138,"[11267 16179 11119 17746 14496 15213  9748  5942  9793 16191 12184  9141
  2973 10066 11688 13168  8721  7945  4098 16613]"
4139,"[16879  2445  4561 11823 15172 12945 14281  7020 15376 17621 10264  5328
  5756  4481 12089 10685 16426  8201 13144  7670]"
4140,"[ 5187  3666  1833  6842 16105  2190 12481  2340 11251  5825 12983   828
  8140  4030  6720  2144  2228  1320  6162  8505]"
4141,"[14372  3774  7399  9513  5596 15030  9235 12673  2897 13566  4131  9259
 13061 13839   612  8601 16550  5907 11697 10155]"
4142,"[ 9719  5093  3530  4171 12663  2501 13539  7072  7558  6781  4385   233
 16341 11601 15306   743 13643  7808  5625  1003]"
4143,"[ 7343 10334  3228  4437 16385 14787  5204  8944 14776 17420 15904  5816
  4907  2678  3984 17142 11996 11805  6077  7582]"
4144,"[13862  9082  2773  2290  3548 17094  5392  1802  7478  2144  9175 13522
  6303 10987 17668  1809  8576  2275 16674  4385]"
4145,"[ 8878 14828  2173 16101  6952 10326  3240  9223 16879 12498   478  3677
  5681 16818 15235  5033  2178 15451 12759 10685]"
4146,"[ 5507 11039  7864  8116 10190 14663 15479  9164  1476 15007 11196  8123
  6140  7238  5622  6314  9134  7368 11648   956]"
4147,"[ 3715 12754  6494 14427  6227  3631 15361  6746 16793  5234 11039  5595
   457  1522 17769 17675  3932  6586 10141 11675]"
4148,"[  612  8601  6873 10350  2961 14318 11950 11162  9196  1679 14651  6627
 15312 14499  4003 15748 12256 17556  5938  7818]"
4149,"[  828  9421  5845  7145  2378  3411  3240 14294  8162   113  9357  3631
 16107 12883  6162 14780  3590 11704  3751  9211]"
4150,"[16930  4423  9629  8878  7200   219 14456  9440  6588 13619 11046  6431
 13863 14764  6532  4385  3285 14835  7735 10763]"
4151,"[16783   828 12883 15535 10633 14169  3631  8257  3411 16801  8249 13478
 11245  6084 15396  2190 11315  5187 17382  3590]"
4152,"[ 7884 13571  2172  5212  1857   743  8016 14231  2654 11173 11897 13474
  2581 11452  8413  2280 10428  8869  1895  1311]"
4153,"[16101  7934  1210 16482  4789  4218 11160  5033 16879 11143 14449 16108
 13522  4481  4177   609  6971  2688  3288 13395]"
4154,"[12998 15891   879  3240  2598  9784   855 10763  2173 14449 13172  9799
  6969  1575  7808 12269  9225 10212   804 12227]"
4155,"[ 6162  6303  3965  2178  2228 12759  2119 13862  1802  9659  9421  5187
 13365 11868    68 16656   407 12441  8140  7329]"
4156,"[ 4437 16427  5816 13810 14585 14787  7343 13956  4094  3411 12269 12511
 11572 10407 12498 10287  3766  4907 16385  5592]"
4157,"[12998 15891   879  9223  8878  9799 17382  5340 17789 16879  5030 13107
 14484   478 16426  3369  5303 14783  8650 10685]"
4158,"[14794  6971  4755  9375 11277 13818  7934 16879 16539  4789 11143 13245
 14656 14885  3296 16120 12269 13146 12006 10788]"
4159,"[14236  8577   432 17577 11435 13862 13635  8717  3666 10411  7951 12754
  5341 10910 16253  1042  5725  4950  3144  3474]"
4160,"[ 6720  6424 12479 16969  8020  4141  3041 11501 12983  8140  9548  4385
 17668 10438 12006  2504 11195  5725 13643  9992]"
4161,"[11201  9223 14281 14294   391  9357  4177  6382   261  2591 16818  4641
 16438  7145  9335 11631  2119 16426  7020  3637]"
4162,"[11277  7683 11823  3548  1802  1597 14794  6303 13304  9612  4641  6586
  3762  5392 13245  4201 10403  2432  1042 16738]"
4163,"[ 2575 12157  4328 15342  1521   112  6720  3166 13956 10404  8062  2641
  1447  4711  2807  1833  8130  5218 13301  9165]"
4164,"[ 3548 12998 15665  9799 13572  8878  3291  9335 12759  9211  3240  3369
  1329  5340 17382 10114  2173 14294   515 11437]"
4165,"[ 5907  2961 11914 11010  8257 14651   612 10350 12064  8601 11950  6084
  5373 15312  9196  9440  1495 12883 10633 15030]"
4166,"[ 5003  2275  2432 10403   277  8658  8130 13635   432  3762  7022 16480
  1597  5093  1042  6720 13321  6781  7808 14095]"
4167,"[ 2119  3548  4037  6162 11648 14294  5643 16237  6213  4285  3291 13571
 15622  9335  8413  7779 10634 14656  5093 12672]"
4168,"[11042 10050  6734  6586 15213 12011 11119  4220  5942  1383   556 13497
  1043 12336  6109  8468   843  4789 14885  5725]"
4169,"[  432  8577  3762  5003  3291  8238  1232  2275  4062  2340 12586  2937
  8717 13063   751 16009  1597   110 11823 14017]"
4170,"[14286  5003  2144 17382  8870 16503 12399  1114  2570  8400  8577   843
  7329 11286  3411 17277  3099  8895 10633 11823]"
4171,"[ 6413  3188 11502 14182 15634  5060   606  8017 11203  7149   244  7255
  9164  8427  7472  4623 16173  8835 14449  8491]"
4172,"[ 6556 11140 12269  6724 13270 10633 12777  5924 13394   804  9211  9175
 15342 14294   432 14258  7343  8563  2759  6084]"
4173,"[10278 10212 11998  2148 14231 12517  8020  9225 15930  2144  5496   596
  5699  7606  3859 17642 11229 11859 17046 13616]"
4174,"[15342  4037 13539 16237  8869  8016 17772  7558  2807  3432  9562  1521
  9662  5097 10428 13579  5013  1540 10690  7150]"
4175,"[ 8563  8717 13274 15058  9790  4861  9118  5359  5341  1010  7998  1232
  8577 15413 11616 13063 17577 13085 15343  2393]"
4176,"[ 4177  3548 14294  1521 13089  9440  5392 16426  5825  9017  4091   879
   828  6382  8658 16857  3291 11631 10212 16077]"
4177,"[17371  9612  3548  6637 14294  4177  5083  9440  9391  4789  1521  3240
 14281  4822  4440  5691 11782  1479  4481 11631]"
4178,"[ 6431 17142 14456  7200  5204 16602  6532  9629  5033 17236 16319 10334
 16540 17420  4437  8878 16930 13270  4423 12945]"
4179,"[ 9211   879  5340 10428  3272  5392  2144  5212   451  3548 11093 11515
  7932  8238 12998  8432  8215 16725 17382 17243]"
4180,"[  733  5530  5392 12295 17734  9644 11648  9092 11494  7650  5415 11280
  2318  8798 15622  9803 15982  8491  4232 12997]"
4181,"[17315 10987 10633 14901  7478 10326  1802 16879 11342  9664  4641  3590
 11010  6746 13371   804  3944 16427  8030  8895]"
4182,"[ 9709 10918  1754 14008 14615  5003  7932  4232 11039  3402 15527 16080
  7559  5184  1752  3498  1444  4328 11159 11286]"
4183,"[  257 14795 17715 11143 11977  5699 10278 15883 13572  7660 16879  6952
   214  6031  9629 13238 13938 10799  7525   366]"
4184,"[ 5725  5003  2144  4062  3906  3762 10633 11039  8633   762  7856 10302
   214  2340  1522 14407  3356 17315  9118  8577]"
4185,"[ 2956   693  4561  5328  1190    74 15172 11143 12089 12801  5781  1986
 17613 10084  3250  4177 14828  5156 16748  9177]"
4186,"[13321 15553  6023  7784  2575 12156  4075 12416  1447 17536 12983  9085
 12593  8490  3025  8020  7022  3432  2038  4328]"
4187,"[13144 12998 12089 10685 11406   167 15385  9799 16879  7573 14780   478
   257 15172  4845 14776  7965 16318 17613  4519]"
4188,"[  478    49  9799  7818 14776 14456 10350 17382  4561  3489 11315  3984
  3240   701 17621 11162 10799  2678 11245 13863]"
4189,"[17135  8648 13862  3590 12441  8076  6162  3965  1457 16318 12269 11168
  2228   570 12089  7873 17277 14169 10919   113]"
4190,"[ 2932 14307 10863 11648 10066  3787 11208 13342 16262  3840 10915  7067
 13430 16027  4627 17734 12461 15527 11734  6648]"
4191,"[17382 12998 13144   257  1340  3853 14776 12370 11388   478  5725 12511
   879  2173  3859   525  8159 17613 12883  1415]"
4192,"[10438 12269  8030 12759  5718 12754  1568  3044   828 16253 13371  9375
  3965   804  8076  9659  6113   344  6672  1457]"
4193,"[10685 14169 10114  4561  3590   879  2445 17382 17621  4673  4519  8637
  8201 16426  2173  7670  9421 10919 16318  3859]"
4194,"[ 4673  4856  4561  5003 17621  2299  2591 13144  2445  9311 15535  4789
  3710 12961  1190 14281  9607 15396  3762  5156]"
4195,"[ 5187 12481 17476 16360   186  2504 15342  6353  2641 12983   407  5212
  6897 13956  8446 14443 15272  5946 10955 14017]"
4196,"[17382 11315  9799 15396  8257 11245 16879    49  3984   701   879  7670
 10114 12828  3489  7818 10350  8279 17609  5340]"
4197,"[ 6971  4908  1561 17355 14794 17734  7543 11267 16077  4631  3707 17238
  7934  2195    15 11081 11590 13304 11277  3884]"
4198,"[15975 16793  2299 13144 15535 15376  7020  6206 15172  4673  9125  5328
  2445  5003  7727 14281 15703 15361  4856   715]"
4199,"[ 9335 15828 11168   167  2552   751  6422  9165  9834 10633  6720  8895
   515  5003  2290  5237  3768 12961 17277 17577]"
4200,"[ 4385  7200 13270 17142 16427     3 10763  8878  4437  2173  5204  3766
 17420   701 11315 14894 14776  1267  9471 16602]"
4201,"[ 1966  9123 14797 11149  5349 16346  2650 14289  3996  5249 16976   733
 12655 11344 10224 14679 16568  5151 10767 10124]"
4202,"[15982  4218 11930  7286 11948  8491  3635 11932 13959  7934  7296  9696
 17355  6174  7804  1405  2941 11119  5392 12567]"
4203,"[ 7808 14449  3099  2598 11677  2372  7297  4301 15619  9888 16120  2414
 12006  5093 14008 12780 16601 12998  7462  9760]"
4204,"[16105  2340 12586  3762 10895 14017  6077  6162 10633 12321  3590 13862
 14258  2937  5187  3243  8381  4094 12961  1835]"
4205,"[10222  7670  9799  5681 13144  4561 17789 12828  4552  8650 17621  2450
   257 17020  8663 15172 14321 15887 11773   478]"
4206,"[ 3411  3631 12511   828 12498  3128  6084 10633 12883 10438 11010 13365
 17315  8505  9175 13127  8648  2759 11315  5005]"
4207,"[  693  9914 12498   211 12801  2178  8201  4561 12089 16109  8159 17621
  2956 15172  3411 16879 10326 11143 11868 13390]"
4208,"[ 6005  5301  1447   457  3025 15553   298  9539    22 15470 13373  8545
  9562  7022   427 13321 13855  9585  1215 11668]"
4209,"[ 5187  6084  6842  3631 11950 10633   407  1809  8505  5845 12983  5592
 16427  3411 16243 12269  3243  9211 13365  4184]"
4210,"[ 4037 11742  3025  1995   743  6213 13539  6066  1311 12734  4540  7734
 10343  1808   307 13175 11998  8869  7884  8313]"
4211,"[12394 16748 15285  8755 15603 12094  2932 13168 13280  1222 11648  9748
 12463  2417 11294  8120  3787 12037 15349  2988]"
4212,"[10015   557 12772   298  9111 13504 15924  8356  9913  9085  7426   307
  4854  6066  8136 15622 10277  7884 11402  1857]"
4213,"[ 3774 11315 15030  7818  8257   612  9196 11162 10350 12498 11010 14318
  6873   478  1679 11950 16427  2214 14787 12256]"
4214,"[ 5725  2290  5187  7856  5058 13682 13649  2687  8381   762   186  3166
 11435 12565  3075 13681  3227 16969  2275  2238]"
4215,"[ 7934  5524  9811  4789  6431  6971  5039    15 16108  9629 10050  3190
 17341 13619 14930 15725  1383 16879 16738  9646]"
4216,"[ 8567  6084 13616 13365  1575  8130  9092 11229 15621  5392 12997 17199
  4285   391 14294  5845  8895 12998 12752  4177]"
4217,"[ 2299  4856  4561  4673 16503 10685 17621  9607 10114 17135 10633 15492
  7998 16577  4789  7353 13144 15396  3590  3369]"
4218,"[ 8591 11948  9696 15982  7286  2973 11648  9023 15119  5286 11930  2318
 11932   776 14538  3096   443  8340  6007  7187]"
4219,"[  391  4247  2228 15172 12089  4673  6124 12321 17135 11293  1190  6162
   599 14828 16318 17376 13127 12801 14015  9958]"
4220,"[11315 12498  8257 14828 10799  4561  6242 12511 15492  7818 17613  9799
   478 10350  8159  8084 11245  3608 14484  5681]"
4221,"[  843 11329 12394 13168  7244 14834  8397 11119  9793 11267 12011  6079
 16444  9488  5252 16179 12206 17390 12184  1482]"
4222,"[ 5506 17166   254 15799  3145  7368 16709 11932 11648  7669  5561 11930
 16482  5407  1924  7763 10018  6851  7609 15028]"
4223,"[11648 11119  6028   443 17734 14092   625 17238  4232 14538  7807  5905
 14002  5234  3218 14839 12295  2432 15274 14983]"
4224,"[ 9550 17376  5763 13478  5825   482  4440  1329 12550  8845  4925 16105
 14711  3369  7379  2119 17135  9958 16577  9421]"
4225,"[  515 10350 12883  7020 12441 14828  8257 11010 16426 13863  7818 14122
  7674 11950  3285  4440  8159  8249 15396  2214]"
4226,"[ 5187  8895 11010  3631   828 10438 10633  6303  9421  1495  9175  8505
  3704 13478  6842   113   804 12006  1802 12754]"
4227,"[13478  1457 12511 11315  9559  4673 10733  8076 14780  6227   828 11245
 12498   478  8159 14901 15385  2340  5725  3411]"
4228,"[ 3762  4856  4673  3590  7874  6162  8577  1522 12961  8895 17701  2340
 17382  5003  4992 16610   432 15861 10633 12321]"
4229,"[ 5643  2275  3291  3548  1802 14637 17772  1835  7932 17668 10438 16237
 12997  6303  2759  2119  5623  3495   300  8130]"
4230,"[ 6556  2340  8505  2641 16023  1906  5924 11093  2190   513   879  8249
  3704  2360 10769 14017 16801  7295 13365 12481]"
4231,"[14776 17420  3984  3766  7200   478  7582 10334 12828  3489 14787  4552
    82 13872  7607 13270  4521  5340  9799  8650]"
4232,"[ 8413  4744   298  5855 17598  7017  6028 17668 13787  8790 17392 13732
 14008  6468  4943 11948  4382  5093  8869  2290]"
4233,"[ 4437  8530 13270 16427  4907 17142 17642  3100  1738  3182  7200  5204
 12189  1912 13261 10287 11507 11173    82  9306]"
4234,"[  478 13551  4519  5340 17315  9357 14819  6227 11745  7965 10763  7343
  9012  1796  3288  2580 13572  3240 11140 16729]"
4235,"[ 2707 11648 17598 14821  8787  5506 16350  2673  5286  9288 14559  5182
  5415  8503 17458 12523  7470 11395  8853  8061]"
4236,"[ 2107  9033  3637   860 13090 14703  2032 11741  7737 10514 15807  3449
  4069   478  8823  3301  6952 15535  9742 16173]"
4237,"[ 5692  9626  8062  6768  2673  2700  6304  3837  6827 13214  3920  5097
  8240 14346 10015  9174 15108  5220  2910  1309]"
4238,"[  515   494  9335  8895 15665 16079  8846 10987  5392  6632  6557 10750
  8658  9130 11251  3859   391  6218 11151  5218]"
4239,"[ 5643  1540   858 17645  5845   307  7145  1447  3532  1521 16566  8130
 12772 13365 16237 12997   733 13616  5097 10173]"
4240,"[ 8076   804  3590 12759  7050  2378 10326  3548  1457 12269  6586 12441
  1930 13862  4925  7478  3965 10438  3529  8878]"
4241,"[ 4437 16385  7200 13270  3228  7607  5204  4907  7582  3984 14776  4477
    82 17420  3766 17142  9306  9471 16427  7199]"
4242,"[10239  3715 16027  1224 10192  6209 10343  1514  3249 13855  2575  9259
 16495 13175  3025 15341 15828  4540 17515 15553]"
4243,"[ 6781 11229  2275  4037 14664  5116 13682  1902 11501  7297 16610 11173
   298  2382  5093 13787 11677  2807  1826   233]"
4244,"[16879 17715  1934 10471  9503  4440 14484 12998  3859  8435  7670   525
 11823 11859 15219  2688   879 10887  5706  5812]"
4245,"[ 5586  5251  3470  1042 13165  2700 15806  9092 17094  4723  5003 14262
  6445  4789  5943  4232 14008  5392 13787 11042]"
4246,"[11648 14834  8491  7934 15524 14930 13533 11119   443  2653 17746 16179
 10066  7663  2932 11267  2465  7950  9408 12394]"
4247,"[11648 11081  7934 11119  6971 12144 17509 11590 17734  2195  9092 14834
  9595  8491  5286 14092 16738 15982  5392 14839]"
4248,"[ 4961 16179 11267  5942 12336  6060 10066 16191  4132 11119  2465  8721
 15213 11042  2540  3145 13168  3639   609  2653]"
4249,"[16385  3228  4437  7607   495  4907  4477 14585  5816 16427 13270  9066
  8673  3100    82 14776  5204  7582 16921 16937]"
4250,"[ 5404  4789 17315  6227  3631 13371   828  9421 15492   804  3411 12498
 12511  8076 11315 16318 14780   478  8878  9664]"
4251,"[ 4673  4561 17621  9799 15535   478 14776 13300  8279  3948  2299  4519
  4856  9715  3411  7670 17613  6237  3489 13144]"
4252,"[ 3498  3659  9694 10455 11601 16480 10181  3935 12006 10567 13383  1444
 13579  5058 16548  5093  9992  6781  7590  6124]"
4253,"[17645  8322  1521 17786 12364  5631  1573  4442  5845  6382  5622  5946
  8130 11969 11067   858 12993  3869 10690  8140]"
4254,"[ 1747  2358  3249  9165  5301  1224  8738 16774 15752  4285  3659   307
 11516 17769  4131 16550 11998  4012  4540   669]"
4255,"[12269   804 17613 13172  2378 12759 10910 13127 12498  2144  7808 14780
  1210  3666  8093 17701 10788 16253  7329  1457]"
4256,"[16101  1222  4561  9297 16879  4789  6431  7934  5033 14281  4177  2445
  4218 10931  9164  9440  7753 14828 10819 16748]"
4257,"[ 2941 11140  3288  7934  6969 16738  6971 11277 14449 14656 14794 13245
 13572  7478 16225 13522 16108  5377  8878 15239]"
4258,"[16196 16360 11810 12142 15312 14902 15620 16550 12064 11914 15443  5938
  9120  1747 14651 11302  2961    52  5907 14499]"
4259,"[16610  5003  6586  1522  8755 16253 15593  8846  1042   457  1848 13500
  5234  2432  6746  4789 16229 11251 16868  9170]"
4260,"[16253 10485  5246 10228 16969 17061  3227 14236  3099  1344  3666  7103
  5785 14125  5058 16447  2504  6746    22  7643]"
4261,"[ 8717 15413  2481  8563  1232  6586 13274  5725 12754  4861  9118   146
  7998 17315  1010 13371 11342 15210 12848  5221]"
4262,"[ 5373  6084 10438  3631 12269 10633 17287 15492 17315 11315 11010   828
 14780 11931 12498  6842  6227 12511  3001 12759]"
4263,"[15553  2280 17515  6094  6023 15048  2570  3715  3543  8020  3025 16528
  4989  9970 12156 17752  8790 12593  3665  3508]"
4264,"[12256 13365  3548  2434 16801 11950  9440  3631 12883 11010  6646  1329
 15396 10114  6084  3240  8162  6303 13394  8130]"
4265,"[ 2941  2119 10428 11173  3272  7295  6363  3943 17147 12189   743 11140
   451 17402  4940 13356  9335  6874 11416  5380]"
4266,"[ 2275 17772  3510  6162  3762  2432  2119 13245   300 14656 14095  7932
  8130 15828  3548  6720  1521  3291  3965  5003]"
4267,"[10350  6873  8257 11162 14318  9196  1679  4003  7818  2214 12256  8601
 13863 16508  6627  5990  5907 17556  5395  3285]"
4268,"[12955 16498 14757  3579   253     1  9608 12804 12636  8430 10175 15937
  8593 14277  4937 12664 16971 13496 17477  2464]"
4269,"[ 4561 16879  9421  4673 17135 16503 11823 10685  3411  9958 17258  1522
 16318 17613   599  2937 17621  8201  5590 15172]"
4270,"[15312 16360  2961  5938  5907 11914  3283 16550 15620 11810 15443  8601
 12142  5946 11302 15748 16196  9175 12064 14651]"
4271,"[ 4561  7934 10931  9297  5315  4789  1648 17621  4218 16879  6971 16426
  5033 14281 15361  2445 12945  2802  2299  1796]"
4272,"[17642  4094 16385  3411 13692  4907  3228  7582 17315 17382 10633 13862
  7873  5221  8895 16937  9066 12511  2937  8381]"
4273,"[ 6724  6556   201  3243 13074 14017 12987 11515 10633  1835  5665  2144
 17565  2581 12777  8963  3947 13261 15621  6084]"
4274,"[ 8141  4177 17734 16101  4218  8491  4789  3707 13395 17371 16482  4481
 11474  7934  9297 10931 12846 11143  9532 16879]"
4275,"[ 2107  9033  5757  2032 11741   860  4646  3301 16758 15807  7378 13090
 13033  2502 13434  8502 11169 14292  2750 13723]"
4276,"[ 5003 11823  4817 16767  6586  8967 16610   843 10411  6562  3470 13635
  8470  7874 14286  4062  3762  7367   457  1556]"
4277,"[11648  5392  8591  2720 11597  3869  9803  6557  8576 17734 11601   443
  4232  8130  4013  6103  1231 17598  3700 15982]"
4278,"[16818 17645  1521 16438 10326  3566  8140  9375  5643 12576  4177  6363
  3965  1882 12269  7975  4646  1568  3951 16610]"
4279,"[ 4840 15622  9335  6382  9694  6153 11601 13550 11969  5054  7665 17740
  4285  4037 13787  6213   759 17043 17402 12772]"
4280,"[ 7998 15413  9607  2299 13274 12839 16503   167  4673  9118  9571 17135
  7915  4885 10334 13300 15535 11193 16891  4561]"
4281,"[ 4561  1796 17609  2214  8637  9607  4519  7293 12828 13863 10334 17020
 14456  9799 10350 15535 12945  7670  6512 10791]"
4282,"[ 2107  3449  9033  5757   860 14703  7737 11741  4646  3301  2502  7982
 16758 11169 13033  3637  9919  8543 15807 17755]"
4283,"[ 4437  4094  4907 16427  6724 13270  9306 17642  1738  3228  7716 13692
  9211 10287    82  9066 14585 13261 13587   495]"
4284,"[13270  3489  7607  4907  4437  5204  7716  7582 13872  3766 16427  7343
  3984 13151 15352  9211    49  6556 14585 14776]"
4285,"[ 5151 15007 10262   733  8531 10173  6637 13204 10198 13616  7158 12752
 12517  3185  9644 15169 12655  1562  8322 12277]"
4286,"[ 4177  4218  9297  4789  6971  9440  6382  5033  1210 16482  1796 11590
 10420  7066 10819 17355 16312  7934 17371  4481]"
4287,"[ 4437  7716 13270 16385  4907  3228 16427 17642  6077  9306  6724  3100
  6279  5204 10287  3766  9211 14585  4094 16937]"
4288,"[ 7934 10050 16748  1648  9007  4561  6717  2445  3190 16560  8435  9181
  8755  6431 15589  3678 10561  5912 16879  4218]"
4289,"[ 6250  7705  1349 13839  9912  1852  2969  2897 12673  4256 12341 14372
  9513  2466  7399 11698  9334  9259 15228 13767]"
4290,"[ 1573  9694  4711 11601  4037  6973  7949 14679  1521 10634  9092  1540
 16023  3752 12364  2382  3566  3548  7297   813]"
4291,"[ 4561 17621 14281 16879 16738  4789  3853 15172  7573  9799  2445 16779
 11143 14321  4519 16426  8656 13260 16513 13144]"
4292,"[ 6303  3704  5187 10633  3631 13365   828  2144 16656 14017 12481 13394
  6162  2190  6084  9211  8505 11010  3944 15621]"
4293,"[ 3965  2340  9659 11010  3704 11315 10438  3001   858   828  8162  5187
 10633  4247 13862 13365 15111 17135 14407  7329]"
4294,"[ 8140 16237  7548  2119  1833 12816  9694  7558  9372  5643 12364 11601
  2807  9662 13556 10375  1521  7890 11513  1540]"
4295,"[ 3774  7399 15030 14372  9513   494 12341   515 15828  1522 10155 10633
  4789 12883  5003 13478 16503  2340  9235 16610]"
4296,"[ 5003  4817  1042 11732  8470  8577 12811 13168  3356 16767  5093  1556
   457   300  3932  8086  3099  4731 17071  6664]"
4297,"[ 3859 16602 10633 12321 11193 14603   167 17701  6969 13326  2275  7329
  4423 17642  4094  2384  3540  4385  4414  9118]"
4298,"[11823 13144  4561 15172  5003  4673  9799  5047 15376  7874 16503 12089
 14169 14281 10685  7998  1522  2445  5156 12206]"
4299,"[16610 15593  5093  3715 14664 12224  3025  1010  4285  8577 13571   233
 13787 11791  2119 16495 10641   378 10279 10239]"
4300,"[ 5187  6303  2641 12983  6842  3166 16243  2275  3590  8658  3666  8381
 11312 11823  6720  8577  5725 17277 13862  3631]"
4301,"[ 1802  5656   858   407  7145  8322 17402   344  5631 12364 12498  8738
 12370 13365  8226  5845 17220 11931 13616 11820]"
4302,"[ 1521 12364 11969 17645 17402  5643 10690  8226 16360  7150 15169 12752
  3041 11914 10024  5825  6162 12983  6084 17772]"
4303,"[17370  3532  9562  2290 13682  3025  1447 12295  2504 14085 13321  8020
 12383 15553  8136 17009 11998  4147  4540 16774]"
4304,"[ 6162  4856  2340  3548 15828 15396  9017  3951  3411 12321 14294 16801
 12883 12089  7343  2228 10633  9211 12998  9440]"
4305,"[10633  2144 10987  8895  3751  5003  9211  5187 15667 12321  3762 16253
   828 17315  3590 11342  2275 11435  4414  5221]"
4306,"[ 4561  2299  4673 15492 15535  4856   478  3411  9659  2384   865 14776
  7622 11245   167 10334  2786 11193 13872 16879]"
4307,"[ 1210  8030 14656 14449  4030  1457 12498 12089 15389  9372  3965  5825
  9353  9958  6162  7548  2956  8076  9421  3339]"
4308,"[ 6382  6632  2119  9335  5643  7295   391  8249  7343  2378  3566  4557
  1568 10896 14281  1360  5156  6720  8944  3965]"
4309,"[ 5003  1042  1597  2432  1232  5234  9585  1937  2378  6586 12754  4817
 12961  8400 14885 10788   457 16480  7975 13390]"
4310,"[12759 16385  4907 17298   478  2937  3489  4437 10407  4094 12998 14585
  3411  7050   355 16729    49 11572  9211  5204]"
4311,"[ 4218  4519  9799  4481 16101 14456 10819  4521  6942 16426 15396  9297
 13090  5033  4177 14828 13300  7020 12299  2472]"
4312,"[12816  4650  3249  2358  3532 17786 12547  3869 10726 10690  2575  4328
  5391 11998  8322  5766  3072 13429 12086  4540]"
4313,"[ 5003  1522  4673  6494 11823  7727  3056   494 17577  4817  8577 11406
 17764  2393  2378  2445  4561 10788  6218  5252]"
4314,"[14449 14794  2051  9612 14111   599  9134 11732 10922 17094  5377  8895
 14761 10788  2956  4481 12226  3099  2805  3737]"
4315,"[  612  8257  2214 13863  1679  9196  3285  7818  5395 14318  5990  4003
 10791 12256 16508 11950 15639 17556  8601   701]"
4316,"[15622 11774  8016 16237  3438  5013  7548  8136 12772 14954 17402 11969
  1292 17645  9375 14549  4842  4285 14857   363]"
4317,"[ 4177  8130  3566   391 15164  6084  8944 17645  6162 13616 14789  4442
   625   733  7150 10326 16818  6557 13365 11914]"
4318,"[ 5033 16101 14456  4561  1210  7526  4218  4481  4519 17020  7374  8663
 17609  8637 10685 17621 14828 10114 11143 16591]"
4319,"[ 3548  4440  1329  7020 14281  6382   570 16426  9440 14294  9723   599
  4925   391 14828  6218  7411  4177 16107 11820]"
4320,"[ 8577  4606 17135  5825   494  3010 13643 12399  6720  8864 16480 15046
  9335  9719 13748  7367 10641   352   457  7243]"
4321,"[ 8658  3859  5003  1934 16426 10987   879 11823  3291  3548  4789 12089
  8895   599  1329  3762  4925  2228 16107 14169]"
4322,"[ 5392  3548 11494  9092 14789  3884 11648  2807 17355 11932  9803  4908
 14794 11948 13572 17371  4218  4232  1521 11362]"
4323,"[ 1521 15169   733  6466  5643  5855  5530 14583 11969 17392 16429  2807
  1540 15393 10642  8130 10281  5825 17199 10107]"
4324,"[ 1597  8343 10380 17043   277  4641  6382 10403  8658 13597 15516  5093
 10788 12997  2382 15342  1002  1385  4062  2275]"
4325,"[ 5187 10633  3548   201  2340   300  2937  3631  9447 11010 16801 12006
 10438  3762  9017  8381 11435  6084  2290  3630]"
4326,"[13616  4974  6637  7804  9784  2805  1575 15007  6926 12586 12350  1562
  5377  1600 14789 11049 15891  9134 15804  9662]"
4327,"[ 4561  4673 13478  2445  4519  3411  7353 16426  8637 15492  4789 17609
  1522  5003  2384  2299 10685   171  7573 14281]"
4328,"[14281 13090 10819 11598  8017 14930  5047  3677  7670 15172  8489  2856
 13280  3948  8856  3404 14666  5033  6942 11394]"
4329,"[ 5212 10633  2322  6556 13692  6724 11309  3590  7489  6077  5958  2190
  1829  5665 16725 11507  1808  9410   751 14258]"
4330,"[16253  1210 16429 10733 13572 13685  4385 11703  9592 17668  8895  5246
  1237 16539  4172 15997  5725 17392  5825 10438]"
4331,"[ 4218  5407  5033 17371 10819 16482  7286  8491  7786  4789  9297  3707
   997  7934  4177 11143 14930  2409 11160 10420]"
4332,"[ 3228  4437    82  5204  7607  7200 13270  3766  7582  4907 14776 16427
  8673 10334 10287 16937  9306   495  3984  4477]"
4333,"[  701 13239 11315  8648 11931  8257 10633 11010 12883  2384  8878 15396
 11619  7530  5373  7329 13270  9440  4576 13034]"
4334,"[11039  1522  5725  3470 13938  3356 14845 11677  8846  1754  7808 12780
  5093  8590  7856  5003  2275  3932  4414 11296]"
4335,"[16253 10302  9664  1848  7281 15709 10756  5562  7103  7856  8076   214
  2641 16036  5725  5058  3666 13371 17315  9834]"
4336,"[11731  5492  5364 10246   262  1904  5025 16619  8463  4754 14848 16434
 11648  7286 15432 13200 11203  4445 10577  8013]"
4337,"[11658 11039  6066     1  8727 14757  4937  3530   956  6006  7058  2907
  7825   298  7954 12601  2677  3432  5625   307]"
4338,"[ 7081  6746  4328  4989 14008  5484 15593 16610  8446  8846  5003 17572
  2074 15750  5825  1930  5946  6803  7728  9709]"
